10,8,2,12,12,4,2,2,2,16,13,22,25,13,14,6,4,14,16,11,2,8,3,21,7,23,2,7,2,10,20,19,20,17,2,15,30,10,7,28,2,31,4,25,12,2,14,16,27,8,30,9,4,5,12,2,3,9,2,9,10,4,10,4,29,5,12,2,15,7,3,13,22,9,6,67,3,3,12,23
21,8,2,15,10,10,13,2,9,4,6,6,2,10,7,5,32,15,12,5,2,9,3,37,2,34,3,7,6,15,7,10,21,2,2,25,24,8,4,33,25,44,9,14,23,2,23,4,27,5,31,8,27,8,2,3,2,4,2,5,7,4,15,5,4,5,7,2,16,6,18,14,15,9,6,59,5,2,28,9
20,29,14,14,2,2,20,2,17,20,6,27,24,10,15,2,26,16,11,20,2,2,7,12,7,23,2,23,6,24,13,19,13,27,2,18,30,9,20,11,25,48,14,20,7,2,8,6,10,9,5,10,20,4,4,4,2,6,2,16,4,3,20,3,3,2,6,7,10,7,14,24,13,8,7,46,6,2,23,5
19,13,15,2,5,6,15,2,9,12,7,8,14,9,6,5,35,18,12,20,2,8,2,9,25,35,7,13,14,7,2,28,4,8,2,13,4,8,15,11,13,41,21,16,7,2,13,9,4,4,5,12,2,5,11,2,2,2,2,16,20,5,62,4,5,2,3,6,13,11,4,16,15,4,5,51,6,3,26,7
34,10,2,2,2,10,7,9,9,9,7,20,11,14,2,8,5,21,10,11,2,15,3,13,16,26,6,14,23,5,34,24,7,9,16,7,18,8,37,15,2,45,28,41,18,2,7,9,16,6,6,13,35,7,10,7,3,5,2,16,6,6,68,2,5,2,2,9,6,11,4,14,13,4,5,57,4,2,12,7
43,12,23,18,7,2,8,34,40,14,49,27,2,9,6,8,4,11,13,10,2,21,43,6,14,17,6,15,37,7,12,5,10,24,7,7,26,12,52,11,13,44,49,65,40,2,6,10,14,9,13,2,12,10,7,9,2,4,2,9,2,28,2,2,2,2,7,14,9,11,10,13,11,4,4,25,4,4,4,4
44,11,2,23,5,10,2,38,16,2,23,21,9,9,7,6,14,15,6,20,5,13,2,4,2,20,6,14,30,7,34,15,9,9,7,8,15,8,8,7,14,42,54,58,61,2,10,11,27,4,13,2,9,5,5,5,3,8,10,10,6,15,2,8,2,2,12,27,19,8,11,7,17,4,3,17,7,5,12,2
49,18,2,10,18,10,2,33,25,8,15,35,11,21,2,9,44,2,14,5,16,7,2,14,17,16,7,17,6,7,14,2,8,16,6,7,19,8,2,7,23,33,37,36,8,2,2,14,21,4,33,3,13,8,3,7,4,5,2,9,3,9,2,8,5,2,4,27,10,8,23,3,5,4,3,32,10,4,17,3
58,24,6,10,9,6,2,35,9,7,19,12,8,9,10,8,33,45,17,6,10,6,2,8,34,2,6,6,14,13,23,32,12,10,10,7,13,16,24,2,11,23,25,20,2,2,7,5,6,6,49,2,24,15,3,14,14,6,7,15,24,8,2,6,5,2,2,42,25,8,22,5,11,4,3,30,12,4,53,4
51,7,2,12,18,6,19,6,12,7,28,20,2,4,9,22,6,28,8,2,9,6,2,29,8,4,18,9,2,11,11,18,18,20,10,33,2,9,24,2,2,26,6,7,2,2,9,7,9,18,46,5,17,24,2,4,29,20,2,10,13,3,2,4,3,2,3,14,12,8,5,5,6,4,3,21,5,7,26,3
