2,9,8,2,2,2,2,6,23,15,9,12,3,18,10,2,2,5,8,23,7,2,4,8,5,11,2,2,4,19,9,2,19,4,4,67,9,2,8,8,4,22,3,9,7,2,9,5,4,7,2,4,14,36,26,16,5,5,12,3,4,2,3,3,23,2,9,44,15,13,8,46,4,83,58,4,3,4,15,9
3,2,2,6,11,8,6,7,2,9,7,15,2,16,20,31,2,5,8,12,23,2,4,8,2,19,8,7,10,31,10,7,12,5,10,2,2,2,5,8,2,34,28,5,12,2,8,9,8,5,4,3,6,19,25,8,5,2,9,4,3,2,11,2,11,5,12,36,15,7,21,5,4,22,15,6,8,11,27,2
3,9,8,6,2,2,2,2,2,8,20,16,3,21,20,25,5,7,2,2,2,2,2,14,5,18,8,7,13,38,12,5,9,2,13,24,2,2,4,9,2,2,5,10,8,2,10,6,10,13,19,2,5,5,26,9,7,3,5,2,5,2,6,2,21,10,11,49,30,17,15,6,3,10,7,9,6,41,5,6
2,2,8,6,2,2,2,6,2,19,14,5,4,26,22,16,2,7,9,7,2,2,4,8,27,26,10,7,2,8,7,5,8,4,10,16,13,2,17,8,2,2,4,23,3,2,10,4,8,42,39,3,5,13,51,7,8,4,11,2,9,2,3,2,9,10,21,49,15,18,10,7,10,63,45,4,4,36,3,7
2,9,2,6,2,6,34,7,4,7,7,10,21,14,9,21,2,21,22,7,2,2,4,8,25,5,8,2,4,14,16,9,27,2,16,26,2,2,20,8,6,11,3,27,8,4,4,4,5,58,22,6,8,4,64,6,8,2,15,2,13,2,3,2,12,5,9,34,7,15,6,2,7,21,39,9,2,54,2,6
2,9,37,6,9,14,8,6,14,7,7,6,32,7,21,25,6,2,2,7,2,2,16,8,2,2,2,4,4,4,18,7,30,4,42,6,9,4,11,9,7,7,16,21,9,3,5,10,6,4,21,6,4,2,23,7,16,2,6,2,17,6,7,2,10,5,4,7,11,10,6,10,2,22,25,5,2,14,7,3
2,2,34,2,9,10,39,2,7,7,10,9,4,2,8,2,6,2,17,3,2,2,2,2,5,8,2,2,12,4,17,7,26,4,35,51,13,2,2,14,4,16,10,30,13,3,73,2,3,4,25,11,6,4,17,3,18,2,20,2,9,5,5,2,13,4,5,16,10,9,2,10,5,34,8,9,2,44,18,7
2,4,5,6,11,13,6,2,2,7,9,2,11,7,2,25,7,2,10,24,2,2,2,2,2,17,8,2,8,19,8,2,20,4,19,36,13,5,16,4,2,11,2,42,14,2,58,10,9,6,38,20,4,6,15,14,20,3,52,2,30,27,9,4,22,4,6,16,8,11,33,6,5,9,6,7,2,12,14,15
2,7,5,7,2,23,6,2,2,7,7,14,5,14,9,13,4,2,8,32,2,2,6,2,4,20,2,2,8,14,9,2,30,4,11,13,6,4,7,8,6,12,6,36,30,3,43,27,8,2,23,23,2,3,13,9,9,3,80,2,5,12,2,10,19,3,13,13,14,14,20,6,5,17,9,22,2,42,5,7
8,28,4,7,9,11,5,2,7,4,5,2,8,8,6,2,6,2,2,26,2,2,6,2,7,9,8,2,2,6,21,7,42,2,7,6,17,2,6,6,6,5,6,30,27,2,18,9,4,4,2,15,7,6,4,4,11,3,7,2,18,21,4,15,15,2,6,9,9,13,7,9,7,3,15,8,2,55,10,11
8,2,5,7,4,14,2,6,19,7,7,16,6,8,2,44,2,2,4,15,2,2,2,8,7,5,8,4,2,13,25,10,21,2,9,7,10,2,6,6,2,7,4,47,21,4,46,3,9,3,14,16,5,5,7,3,10,3,6,2,9,13,9,16,33,2,4,14,13,19,5,25,16,12,5,3,4,22,10,14
8,2,6,11,2,2,2,4,5,2,9,2,9,2,4,8,7,7,8,28,2,2,6,8,2,13,8,2,8,6,23,7,20,2,2,2,10,4,6,9,2,4,7,36,28,2,25,3,14,8,9,14,36,10,8,6,10,2,18,2,15,11,7,20,17,2,5,16,4,8,16,12,8,19,4,2,2,6,5,6
